namespace_id,canonical_namespace,namespace_name,wiki_code,language_name
829,Module talk,Module talk,ady,Adyghe
1728,Event,Event,ady,Adyghe
1729,Event talk,Event talk,ady,Adyghe
-2,Media,Media,af,Afrikaans
-1,Special,Spesiaal,af,Afrikaans
0,,,af,Afrikaans
1,Talk,Bespreking,af,Afrikaans
2,User,Gebruiker,af,Afrikaans
3,User talk,Gebruikerbespreking,af,Afrikaans
4,Project,Wikipedia,af,Afrikaans
5,Project talk,Wikipediabespreking,af,Afrikaans
6,File,Lêer,af,Afrikaans
7,File talk,Lêerbespreking,af,Afrikaans
8,MediaWiki,MediaWiki,af,Afrikaans
9,MediaWiki talk,MediaWikibespreking,af,Afrikaans
10,Template,Sjabloon,af,Afrikaans
11,Template talk,Sjabloonbespreking,af,Afrikaans
12,Help,Hulp,af,Afrikaans
13,Help talk,Hulpbespreking,af,Afrikaans
14,Category,Kategorie,af,Afrikaans
15,Category talk,Kategoriebespreking,af,Afrikaans
100,Portaal,Portaal,af,Afrikaans
101,Portaalbespreking,Portaalbespreking,af,Afrikaans
710,TimedText,TimedText,af,Afrikaans
711,TimedText talk,TimedText talk,af,Afrikaans
828,Module,Module,af,Afrikaans
829,Module talk,Module talk,af,Afrikaans
1728,Event,Event,af,Afrikaans
1729,Event talk,Event talk,af,Afrikaans
-2,Media,Media,ak,Akan
-1,Special,Special,ak,Akan
0,,,ak,Akan
1,Talk,Talk,ak,Akan
2,User,User,ak,Akan
3,User talk,User talk,ak,Akan
4,Project,Wikipedia,ak,Akan
5,Project talk,Wikipedia talk,ak,Akan
6,File,File,ak,Akan
7,File talk,File talk,ak,Akan
8,MediaWiki,MediaWiki,ak,Akan
9,MediaWiki talk,MediaWiki talk,ak,Akan
10,Template,Template,ak,Akan
11,Template talk,Template talk,ak,Akan
12,Help,Help,ak,Akan
13,Help talk,Help talk,ak,Akan
14,Category,Category,ak,Akan
15,Category talk,Category talk,ak,Akan
710,TimedText,TimedText,ak,Akan
711,TimedText talk,TimedText talk,ak,Akan
828,Module,Module,ak,Akan
829,Module talk,Module talk,ak,Akan
1728,Event,Event,ak,Akan
1729,Event talk,Event talk,ak,Akan
-2,Media,Медиа,alt,Southern Altai
-1,Special,Аҥылу,alt,Southern Altai
0,,,alt,Southern Altai
1,Talk,Шӱӱжӱ,alt,Southern Altai
2,User,Туружаачы,alt,Southern Altai
3,User talk,Туружаачыны шӱӱжери,alt,Southern Altai
4,Project,Википедия,alt,Southern Altai
5,Project talk,Википедияти шӱӱжери,alt,Southern Altai
6,File,Файл,alt,Southern Altai
7,File talk,Файлды шӱӱжери,alt,Southern Altai
8,MediaWiki,MediaWiki,alt,Southern Altai
9,MediaWiki talk,MediaWiki-ни шӱӱжери,alt,Southern Altai
10,Template,Ӱлекер,alt,Southern Altai
11,Template talk,Ӱлекерди шӱӱжери,alt,Southern Altai
12,Help,Болуш,alt,Southern Altai
13,Help talk,Болушты шӱӱжери,alt,Southern Altai
14,Category,Категория,alt,Southern Altai
15,Category talk,Категорияны шӱӱжери,alt,Southern Altai
710,TimedText,TimedText,alt,Southern Altai
711,TimedText talk,TimedText talk,alt,Southern Altai
828,Module,Модуль,alt,Southern Altai
829,Module talk,Модульды шӱӱжери,alt,Southern Altai
1728,Event,Event,alt,Southern Altai
1729,Event talk,Event talk,alt,Southern Altai
-2,Media,ፋይል,am,Amharic
-1,Special,ልዩ,am,Amharic
0,,,am,Amharic
1,Talk,ውይይት,am,Amharic
2,User,አባል,am,Amharic
3,User talk,አባል ውይይት,am,Amharic
4,Project,ውክፔዲያ,am,Amharic
5,Project talk,ውክፔዲያ ውይይት,am,Amharic
6,File,ስዕል,am,Amharic
7,File talk,ስዕል ውይይት,am,Amharic
8,MediaWiki,መልዕክት,am,Amharic
9,MediaWiki talk,መልዕክት ውይይት,am,Amharic
10,Template,መለጠፊያ,am,Amharic
11,Template talk,መለጠፊያ ውይይት,am,Amharic
12,Help,እርዳታ,am,Amharic
13,Help talk,እርዳታ ውይይት,am,Amharic
14,Category,መደብ,am,Amharic
15,Category talk,መደብ ውይይት,am,Amharic
100,በር,በር,am,Amharic
101,በር ውይይት,በር ውይይት,am,Amharic
710,TimedText,TimedText,am,Amharic
711,TimedText talk,TimedText talk,am,Amharic
828,Module,ሞጁል,am,Amharic
829,Module talk,ሞጁል ውይይት,am,Amharic
1728,Event,Event,am,Amharic
1729,Event talk,Event talk,am,Amharic
-2,Media,Mitiya,ami,Amis
-1,Special,Kasi’iked,ami,Amis
0,,,ami,Amis
1,Talk,Kasasowal,ami,Amis
2,User,Midemakay,ami,Amis
3,User talk,Kasasowal no midemakay,ami,Amis
4,Project,Wikipedia,ami,Amis
5,Project talk,Wikipedia a kasasowal,ami,Amis
6,File,Faylo,ami,Amis
7,File talk,Masasowal to faylo,ami,Amis
8,MediaWiki,MediaWiki,ami,Amis
9,MediaWiki talk,Masasowal to MediaWiki,ami,Amis
10,Template,Masalipa,ami,Amis
11,Template talk,Masalipaay a kasasowal,ami,Amis
12,Help,Nipadama’,ami,Amis
13,Help talk,Mipadama’ a masasowal,ami,Amis
14,Category,Kasasiwasiw,ami,Amis
15,Category talk,Masasowal to kasasiwasiw,ami,Amis
710,TimedText,TimedText,ami,Amis
711,TimedText talk,TimedText talk,ami,Amis
828,Module,模組,ami,Amis
829,Module talk,模組討論,ami,Amis
1728,Event,Event,ami,Amis
1729,Event talk,Event talk,ami,Amis
-2,Media,Media,an,Aragonese
-1,Special,Especial,an,Aragonese
0,,,an,Aragonese
1,Talk,Descusión,an,Aragonese
2,User,Usuario,an,Aragonese
3,User talk,Descusión usuario,an,Aragonese
4,Project,Wikipedia,an,Aragonese
5,Project talk,Descusión Wikipedia,an,Aragonese
6,File,Imachen,an,Aragonese
7,File talk,Descusión imachen,an,Aragonese
8,MediaWiki,MediaWiki,an,Aragonese
9,MediaWiki talk,Descusión MediaWiki,an,Aragonese
10,Template,Plantilla,an,Aragonese
11,Template talk,Descusión plantilla,an,Aragonese
12,Help,Aduya,an,Aragonese
13,Help talk,Descusión aduya,an,Aragonese
14,Category,Categoría,an,Aragonese
15,Category talk,Descusión categoría,an,Aragonese
100,Portal,Portal,an,Aragonese
101,Descusión Portal,Descusión Portal,an,Aragonese
710,TimedText,TimedText,an,Aragonese
711,TimedText talk,TimedText talk,an,Aragonese
828,Module,Módulo,an,Aragonese
829,Module talk,Descusión módulo,an,Aragonese
1728,Event,Evento,an,Aragonese
1729,Event talk,Evento discusión,an,Aragonese
-2,Media,Media,ang,Old English
-1,Special,Syndrig,ang,Old English
0,,,ang,Old English
1,Talk,Mōtung,ang,Old English
2,User,Brūcend,ang,Old English
3,User talk,Brūcendmōtung,ang,Old English
4,Project,Wikipǣdia,ang,Old English
5,Project talk,Wikipǣdiamōtung,ang,Old English
6,File,Ymele,ang,Old English
7,File talk,Ymelmōtung,ang,Old English
8,MediaWiki,MediaWiki,ang,Old English
9,MediaWiki talk,MediaWikimōtung,ang,Old English
10,Template,Bysen,ang,Old English
11,Template talk,Bysenmōtung,ang,Old English
12,Help,Help,ang,Old English
13,Help talk,Helpmōtung,ang,Old English
14,Category,Flocc,ang,Old English
15,Category talk,Floccmōtung,ang,Old English
710,TimedText,TimedText,ang,Old English
711,TimedText talk,TimedText talk,ang,Old English
828,Module,Module,ang,Old English
829,Module talk,Module talk,ang,Old English
1728,Event,Event,ang,Old English
1729,Event talk,Event talk,ang,Old English
-2,Media,Midia,ann,Obolo
-1,Special,Esese,ann,Obolo
0,,,ann,Obolo
1,Talk,Ukpatu,ann,Obolo
2,User,Òsikwaan̄,ann,Obolo
3,User talk,Ukpatu òsikwaan̄,ann,Obolo
4,Project,Wìkìpedia,ann,Obolo
5,Project talk,Ukpatu Wìkìpedia,ann,Obolo
6,File,Failu,ann,Obolo
7,File talk,Ukpatu failu,ann,Obolo
8,MediaWiki,MediaWiki,ann,Obolo
9,MediaWiki talk,Ukpatu MediaWiki,ann,Obolo
10,Template,Tempulet,ann,Obolo
11,Template talk,Ukpatu tempulet,ann,Obolo
12,Help,Ntap-ubọk,ann,Obolo
13,Help talk,Ukpatu ntap-ubọk,ann,Obolo
14,Category,Ọgbọn̄,ann,Obolo
15,Category talk,Ukpatu ọgbọn̄,ann,Obolo
710,TimedText,TimedText,ann,Obolo
711,TimedText talk,TimedText talk,ann,Obolo
828,Module,Module,ann,Obolo
829,Module talk,Module talk,ann,Obolo
1728,Event,Event,ann,Obolo
1729,Event talk,Event talk,ann,Obolo
-2,Media,मीडिया,anp,Angika
-1,Special,विशेष,anp,Angika
0,,,anp,Angika
1,Talk,वार्ता,anp,Angika
2,User,यूजर,anp,Angika
3,User talk,यूजर वार्ता,anp,Angika
4,Project,विकिपीडिया,anp,Angika
5,Project talk,विकिपीडिया वार्ता,anp,Angika
6,File,फाईल,anp,Angika
7,File talk,फाईल वार्ता,anp,Angika
8,MediaWiki,मीडियाविकि,anp,Angika
9,MediaWiki talk,मीडियाविकि वार्ता,anp,Angika
10,Template,साँचा,anp,Angika
11,Template talk,साँचा वार्ता,anp,Angika
12,Help,मदद,anp,Angika
13,Help talk,मदद वार्ता,anp,Angika
14,Category,श्रेणी,anp,Angika
15,Category talk,श्रेणी वार्ता,anp,Angika
710,TimedText,TimedText,anp,Angika
711,TimedText talk,TimedText talk,anp,Angika
828,Module,मोड्यूल,anp,Angika
829,Module talk,मोड्यूल वार्ता,anp,Angika
1728,Event,Event,anp,Angika
1729,Event talk,Event talk,anp,Angika
-2,Media,ميديا,ar,Arabic
-1,Special,خاص,ar,Arabic
0,,,ar,Arabic
1,Talk,نقاش,ar,Arabic
2,User,مستخدم,ar,Arabic
3,User talk,نقاش المستخدم,ar,Arabic
4,Project,ويكيبيديا,ar,Arabic
5,Project talk,نقاش ويكيبيديا,ar,Arabic
6,File,ملف,ar,Arabic
7,File talk,نقاش الملف,ar,Arabic
8,MediaWiki,ميدياويكي,ar,Arabic
9,MediaWiki talk,نقاش ميدياويكي,ar,Arabic
10,Template,قالب,ar,Arabic
11,Template talk,نقاش القالب,ar,Arabic
12,Help,مساعدة,ar,Arabic
13,Help talk,نقاش المساعدة,ar,Arabic
14,Category,تصنيف,ar,Arabic
15,Category talk,نقاش التصنيف,ar,Arabic
100,بوابة,بوابة,ar,Arabic
101,نقاش البوابة,نقاش البوابة,ar,Arabic
710,TimedText,TimedText,ar,Arabic
711,TimedText talk,TimedText talk,ar,Arabic
828,Module,وحدة,ar,Arabic
829,Module talk,نقاش الوحدة,ar,Arabic
1728,Event,فعالية,ar,Arabic
1729,Event talk,نقاش فعالية,ar,Arabic
2600,Topic,موضوع,ar,Arabic
-2,Media,ܡܝܕܝܐ,arc,Aramaic
-1,Special,ܕܝܠܢܝܐ,arc,Aramaic
0,,,arc,Aramaic
1,Talk,ܡܡܠܠܐ,arc,Aramaic
2,User,ܡܦܠܚܢܐ,arc,Aramaic
3,User talk,ܡܡܠܠܐ ܕܡܦܠܚܢܐ,arc,Aramaic
4,Project,ܘܝܩܝܦܕܝܐ,arc,Aramaic
5,Project talk,ܡܡܠܠܐ ܕܘܝܩܝܦܕܝܐ,arc,Aramaic
6,File,ܠܦܦܐ,arc,Aramaic
7,File talk,ܡܡܠܠܐ ܕܠܦܦܐ,arc,Aramaic
8,MediaWiki,ܡܝܕܝܐܘܝܩܝ,arc,Aramaic
9,MediaWiki talk,ܡܡܠܠܐ ܕܡܝܕܝܐܘܝܩܝ,arc,Aramaic
10,Template,ܩܠܒܐ,arc,Aramaic
11,Template talk,ܡܡܠܠܐ ܕܩܠܒܐ,arc,Aramaic
12,Help,ܥܘܕܪܢܐ,arc,Aramaic
13,Help talk,ܡܡܠܠܐ ܕܥܘܕܪܢܐ,arc,Aramaic
14,Category,ܣܕܪܐ,arc,Aramaic
15,Category talk,ܡܡܠܠܐ ܕܣܕܪܐ,arc,Aramaic
710,TimedText,TimedText,arc,Aramaic
711,TimedText talk,TimedText talk,arc,Aramaic
828,Module,Module,arc,Aramaic
829,Module talk,Module talk,arc,Aramaic
1728,Event,Event,arc,Aramaic
1729,Event talk,Event talk,arc,Aramaic
-2,Media,ميديا,ary,Moroccan Arabic
-1,Special,خاص,ary,Moroccan Arabic
0,,,ary,Moroccan Arabic
1,Talk,مداكرة,ary,Moroccan Arabic
2,User,خدايمي,ary,Moroccan Arabic
3,User talk,لمداكرة د لخدايمي,ary,Moroccan Arabic
4,Project,ويكيپيديا,ary,Moroccan Arabic
5,Project talk,لمداكرة د ويكيپيديا,ary,Moroccan Arabic
6,File,فيشي,ary,Moroccan Arabic
7,File talk,لمداكرة د لفيشي,ary,Moroccan Arabic
8,MediaWiki,ميدياويكي,ary,Moroccan Arabic
9,MediaWiki talk,لمداكرة د ميدياويكي,ary,Moroccan Arabic
10,Template,موضيل,ary,Moroccan Arabic
11,Template talk,لمداكرة د لموضيل,ary,Moroccan Arabic
12,Help,معاونة,ary,Moroccan Arabic
13,Help talk,لمداكرة د لمعاونة,ary,Moroccan Arabic
14,Category,تصنيف,ary,Moroccan Arabic
15,Category talk,لمداكرة د تصنيف,ary,Moroccan Arabic
100,قيسارية,قيسارية,ary,Moroccan Arabic
101,لمداكرة د لقيسارية,لمداكرة د لقيسارية,ary,Moroccan Arabic
118,واساخ,واساخ,ary,Moroccan Arabic
119,لمداكرة د لواساخ,لمداكرة د لواساخ,ary,Moroccan Arabic
710,TimedText,TimedText,ary,Moroccan Arabic
711,TimedText talk,TimedText talk,ary,Moroccan Arabic
828,Module,مودول,ary,Moroccan Arabic
829,Module talk,مداكرة د لمودول,ary,Moroccan Arabic
1728,Event,فعالية,ary,Moroccan Arabic
1729,Event talk,نقاش فعالية,ary,Moroccan Arabic
-2,Media,ميديا,arz,Egyptian Arabic
-1,Special,خاص,arz,Egyptian Arabic
0,,,arz,Egyptian Arabic
1,Talk,نقاش,arz,Egyptian Arabic
2,User,مستخدم,arz,Egyptian Arabic
3,User talk,نقاش المستخدم,arz,Egyptian Arabic
4,Project,ويكيبيديا,arz,Egyptian Arabic
5,Project talk,نقاش ويكيبيديا,arz,Egyptian Arabic
6,File,ملف,arz,Egyptian Arabic
7,File talk,نقاش الملف,arz,Egyptian Arabic
8,MediaWiki,ميدياويكى,arz,Egyptian Arabic
9,MediaWiki talk,نقاش ميدياويكى,arz,Egyptian Arabic
10,Template,قالب,arz,Egyptian Arabic
11,Template talk,نقاش القالب,arz,Egyptian Arabic
12,Help,مساعدة,arz,Egyptian Arabic
13,Help talk,نقاش المساعدة,arz,Egyptian Arabic
14,Category,تصنيف,arz,Egyptian Arabic
15,Category talk,نقاش التصنيف,arz,Egyptian Arabic
100,بوابة,بوابة,arz,Egyptian Arabic
101,مناقشة بوابة,مناقشة بوابة,arz,Egyptian Arabic
710,TimedText,TimedText,arz,Egyptian Arabic
711,TimedText talk,TimedText talk,arz,Egyptian Arabic
828,Module,وحدة,arz,Egyptian Arabic
829,Module talk,نقاش الوحدة,arz,Egyptian Arabic
1728,Event,فعالية,arz,Egyptian Arabic
1729,Event talk,نقاش فعالية,arz,Egyptian Arabic
-2,Media,মাধ্যম,as,Assamese
-1,Special,বিশেষ,as,Assamese
0,,,as,Assamese
1,Talk,বাৰ্তা,as,Assamese
2,User,সদস্য,as,Assamese
3,User talk,সদস্য বাৰ্তা,as,Assamese
4,Project,ৱিকিপিডিয়া,as,Assamese
5,Project talk,ৱিকিপিডিয়া বাৰ্তা,as,Assamese
6,File,চিত্ৰ,as,Assamese
7,File talk,চিত্ৰ বাৰ্তা,as,Assamese
8,MediaWiki,মিডিয়াৱিকি,as,Assamese
9,MediaWiki talk,মিডিয়াৱিকি আলোচনা,as,Assamese
10,Template,সাঁচ,as,Assamese
11,Template talk,সাঁচ বাৰ্তা,as,Assamese
12,Help,সহায়,as,Assamese
13,Help talk,সহায় বাৰ্তা,as,Assamese
14,Category,শ্ৰেণী,as,Assamese
15,Category talk,শ্ৰেণী বাৰ্তা,as,Assamese
100,ৱিকিচ'ৰা,ৱিকিচ'ৰা,as,Assamese
101,ৱিকিচ'ৰা আলোচনা,ৱিকিচ'ৰা আলোচনা,as,Assamese
126,MOS,MOS,as,Assamese
127,MOS talk,MOS talk,as,Assamese
710,TimedText,TimedText,as,Assamese
711,TimedText talk,TimedText talk,as,Assamese
828,Module,Module,as,Assamese
829,Module talk,Module talk,as,Assamese
1728,Event,Event,as,Assamese
1729,Event talk,Event talk,as,Assamese
-2,Media,Medios,ast,Asturian
-1,Special,Especial,ast,Asturian
0,,,ast,Asturian
1,Talk,Alderique,ast,Asturian
2,User,Usuariu,ast,Asturian
3,User talk,Usuariu alderique,ast,Asturian
4,Project,Wikipedia,ast,Asturian
5,Project talk,Wikipedia alderique,ast,Asturian
6,File,Ficheru,ast,Asturian
7,File talk,Ficheru alderique,ast,Asturian
8,MediaWiki,MediaWiki,ast,Asturian
9,MediaWiki talk,MediaWiki alderique,ast,Asturian
10,Template,Plantía,ast,Asturian
11,Template talk,Plantía alderique,ast,Asturian
12,Help,Ayuda,ast,Asturian
13,Help talk,Ayuda alderique,ast,Asturian
14,Category,Categoría,ast,Asturian
15,Category talk,Categoría alderique,ast,Asturian
710,TimedText,TimedText,ast,Asturian
711,TimedText talk,TimedText talk,ast,Asturian
828,Module,Módulu,ast,Asturian
829,Module talk,Módulu alderique,ast,Asturian
1728,Event,Event,ast,Asturian
1729,Event talk,Event talk,ast,Asturian
-2,Media,Tipatcimoctakewin,atj,Atikamekw
-1,Special,Kotakahi,atj,Atikamekw
0,,,atj,Atikamekw
1,Talk,Ke ici aimihitonaniwok,atj,Atikamekw
2,User,Ka notcitatc,atj,Atikamekw
3,User talk,Ke ici aimihitonaniwok notcita iriniw,atj,Atikamekw
4,Project,Wikipetcia,atj,Atikamekw
5,Project talk,Ke ici aimihitonaniwok Wikipetcia,atj,Atikamekw
6,File,Natisinahikaniwoc,atj,Atikamekw
7,File talk,Ke ici aimihitonaniwok natisinihikaniwoc,atj,Atikamekw
8,MediaWiki,MediaWiki,atj,Atikamekw
9,MediaWiki talk,Ke ici aimihitonaniwok MediaWiki,atj,Atikamekw
10,Template,Tipapitcikesinihikan,atj,Atikamekw
11,Template talk,Ke ici arimotcikatek tipapitcikesinihikan,atj,Atikamekw
12,Help,Witcihikoiin,atj,Atikamekw
13,Help talk,Ke ici aimihitonaniwok witcihewinik,atj,Atikamekw
14,Category,Tipanictawin,atj,Atikamekw
15,Category talk,Ke ici aimihitonaniwok tipanictawin,atj,Atikamekw
710,TimedText,TimedText,atj,Atikamekw
711,TimedText talk,TimedText talk,atj,Atikamekw
828,Module,Aitapihikewin,atj,Atikamekw
829,Module talk,Aitapihikan ke ici aimihitonaniwok,atj,Atikamekw
1728,Event,Event,atj,Atikamekw
1729,Event talk,Event talk,atj,Atikamekw
-2,Media,Медиа,av,Avaric
-1,Special,Хъулухъалъулаб,av,Avaric
0,,,av,Avaric
1,Talk,БахӀс,av,Avaric
2,User,ГӀахьалчи,av,Avaric
3,User talk,ГӀахьалчиясул бахӀс,av,Avaric
4,Project,Википедия,av,Avaric
5,Project talk,Википедиялъул бахӀс,av,Avaric
6,File,Файл,av,Avaric
7,File talk,Файлалъул бахӀс,av,Avaric
8,MediaWiki,MediaWiki,av,Avaric
9,MediaWiki talk,MediaWiki-ялъул бахӀс,av,Avaric
10,Template,Халип,av,Avaric
11,Template talk,Халипалъул бахӀс,av,Avaric
12,Help,Кумек,av,Avaric
13,Help talk,Кумекалъул бахӀс,av,Avaric
14,Category,Категория,av,Avaric
15,Category talk,Категориялъул бахӀс,av,Avaric
710,TimedText,TimedText,av,Avaric
711,TimedText talk,TimedText talk,av,Avaric
828,Module,Модуль,av,Avaric
829,Module talk,Обсуждение модуля,av,Avaric
1728,Event,Event,av,Avaric
1729,Event talk,Event talk,av,Avaric
-2,Media,Kanaca,avk,Kotava
-1,Special,Aptaca,avk,Kotava
0,,,avk,Kotava
1,Talk,Prilara,avk,Kotava
2,User,Favesik,avk,Kotava
3,User talk,Favesikprilara,avk,Kotava
4,Project,Wikipedia,avk,Kotava
5,Project talk,Wikipedia prilara,avk,Kotava
6,File,Iyeltak,avk,Kotava
7,File talk,Iyeltakprilara,avk,Kotava
8,MediaWiki,MediaWiki,avk,Kotava
9,MediaWiki talk,MediaWiki prilara,avk,Kotava
10,Template,Teza,avk,Kotava
11,Template talk,Tezaprilara,avk,Kotava
12,Help,Pomara,avk,Kotava
13,Help talk,Pomaraprilara,avk,Kotava
14,Category,Loma,avk,Kotava
15,Category talk,Lomaprilara,avk,Kotava
710,TimedText,TimedText,avk,Kotava
711,TimedText talk,TimedText talk,avk,Kotava
828,Module,Siba,avk,Kotava
829,Module talk,Sibaprilara,avk,Kotava
1728,Event,Evento,avk,Kotava
1729,Event talk,Evento discusión,avk,Kotava
-2,Media,मीडिया,awa,Awadhi
-1,Special,खास,awa,Awadhi
0,,,awa,Awadhi
1,Talk,बातचीत,awa,Awadhi
2,User,यूजर,awa,Awadhi
3,User talk,यूजर बातचीत,awa,Awadhi
4,Project,विकिपीडिया,awa,Awadhi
5,Project talk,विकिपीडिया बातचीत,awa,Awadhi
6,File,फाइल,awa,Awadhi
7,File talk,फाइल बातचीत,awa,Awadhi
8,MediaWiki,मीडियाविकी,awa,Awadhi
9,MediaWiki talk,मीडियाविकी बातचीत,awa,Awadhi
10,Template,खाँचा,awa,Awadhi
11,Template talk,खाँचा बातचीत,awa,Awadhi
12,Help,मदद,awa,Awadhi
13,Help talk,मदद बातचीत,awa,Awadhi
14,Category,श्रेणी,awa,Awadhi
15,Category talk,श्रेणी बातचीत,awa,Awadhi
710,TimedText,TimedText,awa,Awadhi
711,TimedText talk,TimedText talk,awa,Awadhi
828,Module,मॉड्यूल,awa,Awadhi
829,Module talk,मॉड्यूल वार्ता,awa,Awadhi
1728,Event,Event,awa,Awadhi
1729,Event talk,Event talk,awa,Awadhi
-2,Media,Medio,ay,Aymara
-1,Special,Especial,ay,Aymara
0,,,ay,Aymara
1,Talk,Discusión,ay,Aymara
2,User,Usuario,ay,Aymara
3,User talk,Usuario discusión,ay,Aymara
4,Project,Wikipidiya,ay,Aymara
5,Project talk,Wikipidiyan Aruskipäwi,ay,Aymara
6,File,Archivo,ay,Aymara
7,File talk,Archivo discusión,ay,Aymara
8,MediaWiki,MediaWiki,ay,Aymara
9,MediaWiki talk,MediaWiki discusión,ay,Aymara
10,Template,Plantilla,ay,Aymara
11,Template talk,Plantilla discusión,ay,Aymara
12,Help,Ayuda,ay,Aymara
13,Help talk,Ayuda discusión,ay,Aymara
14,Category,Categoría,ay,Aymara
15,Category talk,Categoría discusión,ay,Aymara
710,TimedText,TimedText,ay,Aymara
711,TimedText talk,TimedText talk,ay,Aymara
828,Module,Módulo,ay,Aymara
829,Module talk,Módulo discusión,ay,Aymara
1728,Event,Evento,ay,Aymara
1729,Event talk,Evento discusión,ay,Aymara
-2,Media,Media,az,Azerbaijani
-1,Special,Xüsusi,az,Azerbaijani
0,,,az,Azerbaijani
1,Talk,Müzakirə,az,Azerbaijani
2,User,İstifadəçi,az,Azerbaijani
3,User talk,İstifadəçi müzakirəsi,az,Azerbaijani
4,Project,Vikipediya,az,Azerbaijani
5,Project talk,Vikipediya müzakirəsi,az,Azerbaijani
6,File,Fayl,az,Azerbaijani
7,File talk,Fayl müzakirəsi,az,Azerbaijani
8,MediaWiki,MediaViki,az,Azerbaijani
9,MediaWiki talk,MediaViki müzakirəsi,az,Azerbaijani
10,Template,Şablon,az,Azerbaijani
11,Template talk,Şablon müzakirəsi,az,Azerbaijani
12,Help,Kömək,az,Azerbaijani
13,Help talk,Kömək müzakirəsi,az,Azerbaijani
14,Category,Kateqoriya,az,Azerbaijani
15,Category talk,Kateqoriya müzakirəsi,az,Azerbaijani
