wiki_code,language_name,is_mobile
nso,Northern Sotho,False
nup,Nupe,False
nv,Navajo,False
ny,Nyanja,False
oc,Occitan,False
olo,Livvi-Karelian,False
om,Oromo,False
or,Odia,False
os,Ossetic,False
pa,Punjabi,False
pag,Pangasinan,False
pam,Pampanga,False
pap,Papiamento,False
pcd,Picard,False
pcm,Nigerian Pidgin,False
pdc,Pennsylvania German,False
pfl,Palatine German,False
pi,Pali,False
pih,Pitcairn-Norfolk,False
pl,Polish,False
pms,Piedmontese,False
pnb,Western Punjabi,False
pnt,Pontic,False
ppl,Nawat,False
ps,Pashto,False
pt,Portuguese,False
pwn,Paiwan,False
qu,Quechua,False
rki,Arakanese,False
rm,Romansh,False
rmy,Vlax Romani,False
rn,Rundi,False
ro,Romanian,False
roa-rup,Aromanian,False
roa-tara,Tarantino,False
rsk,Pannonian Rusyn,False
ru,Russian,False
rue,Rusyn,False
rup,Aromanian,False
rw,Kinyarwanda,False
sa,Sanskrit,False
sah,Yakut,False
sat,Santali,False
sc,Sardinian,False
scn,Sicilian,False
sco,Scots,False
sd,Sindhi,False
se,Northern Sami,False
sg,Sango,False
sgs,Samogitian,False
sh,Serbo-Croatian,False
shi,Tachelhit,False
shn,Shan,False
shy,Shawiya,False
si,Sinhala,False
simple,Simple English,False
sk,Slovak,False
skr,Saraiki,False
sl,Slovenian,False
sm,Samoan,False
smn,Inari Sami,False
sn,Shona,False
so,Somali,False
sq,Albanian,False
sr,Serbian,False
srn,Sranan Tongo,False
ss,Swati,False
st,Southern Sotho,False
stq,Saterland Frisian,False
su,Sundanese,False
sv,Swedish,False
sw,Swahili,False
syl,Sylheti,False
szl,Silesian,False
szy,Sakizaya,False
ta,Tamil,False
tay,Atayal,False
tcy,Tulu,False
tdd,Tai Nuea,False
te,Telugu,False
tet,Tetum,False
tg,Tajik,False
th,Thai,False
ti,Tigrinya,False
tig,Tigre,False
tk,Turkmen,False
tl,Tagalog,False
tly,Talysh,False
tn,Tswana,False
to,Tongan,False
tok,Toki Pona,False
tpi,Tok Pisin,False
tr,Turkish,False
trv,Taroko,False
ts,Tsonga,False
tt,Tatar,False
tum,Tumbuka,False
tw,Twi,False
ty,Tahitian,False
tyv,Tuvinian,False
udm,Udmurt,False
ug,Uyghur,False
uk,Ukrainian,False
ur,Urdu,False
uz,Uzbek,False
ve,Venda,False
vec,Venetian,False
vep,Veps,False
vi,Vietnamese,False
vls,West Flemish,False
vo,Volapük,False
vro,Võro,False
wa,Walloon,False
war,Waray,False
wo,Wolof,False
wuu,Wu,False
xal,Kalmyk,False
xh,Xhosa,False
xmf,Mingrelian,False
yi,Yiddish,False
yo,Yoruba,False
yue,Cantonese,False
za,Zhuang,False
zea,Zeelandic,False
zgh,Standard Moroccan Tamazight,False
zh,Chinese,False
zh-classical,Literary Chinese,False
zh-min-nan,Minnan,False
zh-yue,Cantonese,False
zu,Zulu,False
aa.m,Afar,True
ab.m,Abkhazian,True
ace.m,Acehnese,True
ady.m,Adyghe,True
af.m,Afrikaans,True
ak.m,Akan,True
als.m,Alemannic,True
alt.m,Southern Altai,True
am.m,Amharic,True
ami.m,Amis,True
an.m,Aragonese,True
ang.m,Old English,True
ann.m,Obolo,True
anp.m,Angika,True
ar.m,Arabic,True
arc.m,Aramaic,True
ary.m,Moroccan Arabic,True
arz.m,Egyptian Arabic,True
as.m,Assamese,True
ast.m,Asturian,True
atj.m,Atikamekw,True
av.m,Avaric,True
avk.m,Kotava,True
awa.m,Awadhi,True
ay.m,Aymara,True
az.m,Azerbaijani,True
azb.m,South Azerbaijani,True
ba.m,Bashkir,True
ban.m,Balinese,True
bar.m,Bavarian,True
bat-smg.m,Samogitian,True
bbc.m,Batak Toba,True
bcl.m,Central Bikol,True
bdr.m,West Coast Bajau,True
be.m,Belarusian,True
be-tarask.m,Belarusian (Taraškievica orthography),True
be-x-old.m,Belarusian (Taraškievica orthography),True
bew.m,Betawi,True
bg.m,Bulgarian,True
bh.m,Bhojpuri,True
bi.m,Bislama,True
bjn.m,Banjar,True
blk.m,Pa'O,True
bm.m,Bambara,True
bn.m,Bangla,True
bo.m,Tibetan,True
bpy.m,Bishnupriya,True
br.m,Breton,True
bs.m,Bosnian,True
btm.m,Batak Mandailing,True
bug.m,Buginese,True
bxr.m,Russia Buriat,True
ca.m,Catalan,True
cbk-zam.m,Chavacano,True
cdo.m,Mindong,True
ce.m,Chechen,True
ceb.m,Cebuano,True
ch.m,Chamorro,True
cho.m,Choctaw,True
chr.m,Cherokee,True
chy.m,Cheyenne,True
ckb.m,Central Kurdish,True
co.m,Corsican,True
cr.m,Cree,True
crh.m,Crimean Tatar,True
cs.m,Czech,True
csb.m,Kashubian,True
cu.m,Church Slavic,True
cv.m,Chuvash,True
cy.m,Welsh,True
da.m,Danish,True
dag.m,Dagbani,True
de.m,German,True
dga.m,Southern Dagaare,True
din.m,Dinka,True
diq.m,Dimli,True
dsb.m,Lower Sorbian,True
dtp.m,Central Dusun,True
dty.m,Doteli,True
dv.m,Divehi,True
dz.m,Dzongkha,True
ee.m,Ewe,True
el.m,Greek,True
eml.m,Emiliano-Romagnolo,True
en.m,English,True
eo.m,Esperanto,True
es.m,Spanish,True
et.m,Estonian,True
eu.m,Basque,True
ext.m,Extremaduran,True
fa.m,Persian,True
fat.m,Fanti,True
ff.m,Fula,True
fi.m,Finnish,True
fiu-vro.m,Võro,True
fj.m,Fijian,True
fo.m,Faroese,True
fon.m,Fon,True
fr.m,French,True
frp.m,Arpitan,True
frr.m,Northern Frisian,True
fur.m,Friulian,True
fy.m,Western Frisian,True
ga.m,Irish,True
gag.m,Gagauz,True
gan.m,Gan,True
gcr.m,Guianan Creole,True
gd.m,Scottish Gaelic,True
gl.m,Galician,True
glk.m,Gilaki,True
gn.m,Guarani,True
gom.m,Goan Konkani,True
gor.m,Gorontalo,True
got.m,Gothic,True
gpe.m,Ghanaian Pidgin,True
gsw.m,Alemannic,True
gu.m,Gujarati,True
guc.m,Wayuu,True
gur.m,Frafra,True
guw.m,Gun,True
gv.m,Manx,True
ha.m,Hausa,True
hak.m,Hakka Chinese,True
haw.m,Hawaiian,True
he.m,Hebrew,True
hi.m,Hindi,True
hif.m,Fiji Hindi,True
ho.m,Hiri Motu,True
hr.m,Croatian,True
hsb.m,Upper Sorbian,True
ht.m,Haitian Creole,True
hu.m,Hungarian,True
hy.m,Armenian,True
hyw.m,Western Armenian,True
hz.m,Herero,True
ia.m,Interlingua,True
iba.m,Iban,True
id.m,Indonesian,True
ie.m,Interlingue,True
ig.m,Igbo,True
igl.m,Igala,True
ii.m,Sichuan Yi,True
ik.m,Inupiaq,True
ilo.m,Iloko,True
inh.m,Ingush,True
io.m,Ido,True
is.m,Icelandic,True
isv.m,medžuslovjansky,True
it.m,Italian,True
iu.m,Inuktitut,True
ja.m,Japanese,True
jam.m,Jamaican Creole English,True
jbo.m,Lojban,True
jv.m,Javanese,True
ka.m,Georgian,True
kaa.m,Kara-Kalpak,True
kab.m,Kabyle,True
kai.m,Karekare,True
kaj.m,Jju,True
kbd.m,Kabardian,True
kbp.m,Kabiye,True
kcg.m,Tyap,True
kg.m,Kongo,True
kge.m,Komering,True
ki.m,Kikuyu,True
kj.m,Kuanyama,True
kk.m,Kazakh,True
kl.m,Kalaallisut,True
km.m,Khmer,True
kn.m,Kannada,True
knc.m,Central Kanuri,True
ko.m,Korean,True
koi.m,Komi-Permyak,True
kr.m,Kanuri,True
krc.m,Karachay-Balkar,True
ks.m,Kashmiri,True
ksh.m,Colognian,True
ku.m,Kurdish,True
kus.m,Kusaal,True
kv.m,Komi,True
kw.m,Cornish,True
ky.m,Kyrgyz,True
la.m,Latin,True
lad.m,Ladino,True
lb.m,Luxembourgish,True
lbe.m,Lak,True
lez.m,Lezghian,True
lfn.m,Lingua Franca Nova,True
lg.m,Ganda,True
li.m,Limburgish,True
lij.m,Ligurian,True
lld.m,Ladin,True
lmo.m,Lombard,True
ln.m,Lingala,True
lo.m,Lao,True
lrc.m,Northern Luri,True
lt.m,Lithuanian,True
ltg.m,Latgalian,True
lv.m,Latvian,True
lzh.m,Literary Chinese,True
mad.m,Madurese,True
mag.m,Magahi,True
mai.m,Maithili,True
map-bms.m,Banyumasan,True
mdf.m,Moksha,True
mg.m,Malagasy,True
mh.m,Marshallese,True
mhr.m,Eastern Mari,True
mi.m,Māori,True
min.m,Minangkabau,True
mk.m,Macedonian,True
ml.m,Malayalam,True
mn.m,Mongolian,True
mni.m,Manipuri,True
mnw.m,Mon,True
mo.m,Moldovan,True
mos.m,Mossi,True
mr.m,Marathi,True
mrj.m,Western Mari,True
ms.m,Malay,True
mt.m,Maltese,True
mus.m,Muscogee,True
mwl.m,Mirandese,True
my.m,Burmese,True
myv.m,Erzya,True
mzn.m,Mazanderani,True
na.m,Nauru,True
nah.m,Nahuatl,True
nan.m,Minnan,True
nap.m,Neapolitan,True
nds.m,Low German,True
nds-nl.m,Low Saxon,True
ne.m,Nepali,True
new.m,Newari,True
ng.m,Ndonga,True
nia.m,Nias,True
nl.m,Dutch,True
nn.m,Norwegian Nynorsk,True
no.m,Norwegian,True
nov.m,Novial,True
nqo.m,N’Ko,True
nr.m,South Ndebele,True
nrm.m,Norman,True
nso.m,Northern Sotho,True
nup.m,Nupe,True
nv.m,Navajo,True
ny.m,Nyanja,True
oc.m,Occitan,True
olo.m,Livvi-Karelian,True
om.m,Oromo,True
or.m,Odia,True
os.m,Ossetic,True
pa.m,Punjabi,True
pag.m,Pangasinan,True
pam.m,Pampanga,True
pap.m,Papiamento,True
pcd.m,Picard,True
pcm.m,Nigerian Pidgin,True
pdc.m,Pennsylvania German,True
pfl.m,Palatine German,True
pi.m,Pali,True
pih.m,Pitcairn-Norfolk,True
pl.m,Polish,True
pms.m,Piedmontese,True
pnb.m,Western Punjabi,True
pnt.m,Pontic,True
ppl.m,Nawat,True
ps.m,Pashto,True
pt.m,Portuguese,True
pwn.m,Paiwan,True
qu.m,Quechua,True
rki.m,Arakanese,True
rm.m,Romansh,True
rmy.m,Vlax Romani,True
rn.m,Rundi,True
ro.m,Romanian,True
roa-rup.m,Aromanian,True
roa-tara.m,Tarantino,True
rsk.m,Pannonian Rusyn,True
ru.m,Russian,True
rue.m,Rusyn,True
rup.m,Aromanian,True
rw.m,Kinyarwanda,True
sa.m,Sanskrit,True
sah.m,Yakut,True
sat.m,Santali,True
sc.m,Sardinian,True
scn.m,Sicilian,True
sco.m,Scots,True
sd.m,Sindhi,True
se.m,Northern Sami,True
sg.m,Sango,True
sgs.m,Samogitian,True
sh.m,Serbo-Croatian,True
shi.m,Tachelhit,True
shn.m,Shan,True
shy.m,Shawiya,True
si.m,Sinhala,True
simple.m,Simple English,True
sk.m,Slovak,True
skr.m,Saraiki,True
sl.m,Slovenian,True
sm.m,Samoan,True
smn.m,Inari Sami,True
sn.m,Shona,True
so.m,Somali,True
sq.m,Albanian,True
sr.m,Serbian,True
srn.m,Sranan Tongo,True
ss.m,Swati,True
st.m,Southern Sotho,True
stq.m,Saterland Frisian,True
su.m,Sundanese,True
sv.m,Swedish,True
sw.m,Swahili,True
syl.m,Sylheti,True
szl.m,Silesian,True
szy.m,Sakizaya,True
ta.m,Tamil,True
tay.m,Atayal,True
tcy.m,Tulu,True
tdd.m,Tai Nuea,True
te.m,Telugu,True
tet.m,Tetum,True
tg.m,Tajik,True
th.m,Thai,True
ti.m,Tigrinya,True
tig.m,Tigre,True
tk.m,Turkmen,True
tl.m,Tagalog,True
tly.m,Talysh,True
tn.m,Tswana,True
to.m,Tongan,True
tok.m,Toki Pona,True
tpi.m,Tok Pisin,True
tr.m,Turkish,True
trv.m,Taroko,True
ts.m,Tsonga,True
tt.m,Tatar,True
tum.m,Tumbuka,True
tw.m,Twi,True
ty.m,Tahitian,True
tyv.m,Tuvinian,True
udm.m,Udmurt,True
ug.m,Uyghur,True
uk.m,Ukrainian,True
ur.m,Urdu,True
uz.m,Uzbek,True
ve.m,Venda,True
vec.m,Venetian,True
vep.m,Veps,True
vi.m,Vietnamese,True
vls.m,West Flemish,True
vo.m,Volapük,True
vro.m,Võro,True
wa.m,Walloon,True
war.m,Waray,True
wo.m,Wolof,True
wuu.m,Wu,True
xal.m,Kalmyk,True
xh.m,Xhosa,True
xmf.m,Mingrelian,True
yi.m,Yiddish,True
yo.m,Yoruba,True
yue.m,Cantonese,True
za.m,Zhuang,True
zea.m,Zeelandic,True
zgh.m,Standard Moroccan Tamazight,True
zh.m,Chinese,True
zh-classical.m,Literary Chinese,True
zh-min-nan.m,Minnan,True
zh-yue.m,Cantonese,True
zu.m,Zulu,True
